Test fapi-rw-id2-discovery-end-point-verification jqzO4AJcd4fMDOO FINISHED - result FAILED. 26 log entries - 19 SUCCESS 1 FAILURE, 0 WARNING, 1.2 seconds

Test fapi-rw-id2 wKKXq1B9ZeQ2ABN INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 5.1 seconds

Test fapi-rw-id2-user-rejects-authentication 4u5HVbgCTL5jrDM FINISHED - result PASSED. 139 log entries - 80 SUCCESS 0 FAILURE, 0 WARNING, 6.1 seconds

Test fapi-rw-id2-ensure-request-object-with-multiple-aud-succeeds GquYJF72cBzllHC INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-authorization-request-without-state-success 840NA2P9F00cdES INTERRUPTED - result FAILED. 73 log entries - 44 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-valid-pkce-succeeds h3u0ksMODeIW4av INTERRUPTED - result FAILED. 77 log entries - 47 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-other-scope-order-succeeds LGDITmf12RyJR1C INTERRUPTED - result FAILED. 58 log entries - 39 SUCCESS 1 FAILURE, 0 WARNING, 1.1 seconds

Test fapi-rw-id2-ensure-response-mode-query VNGY7r7RW1VIcDW FINISHED - result PASSED. 84 log entries - 55 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-different-nonce-inside-and-outside-request-object 1jEvREGd1TMucXV FINISHED - result FAILED. 92 log entries - 54 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-registered-redirect-uri PAtv5ucTtq5JEof FINISHED - result REVIEW. 73 log entries - 47 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-request-object-with-long-nonce WrReVO8QRsn8Bqs INTERRUPTED - result FAILED. 75 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 1.0 seconds

Test fapi-rw-id2-ensure-request-object-with-long-state IDuszMRs47gag4t INTERRUPTED - result FAILED. 75 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

Test fapi-rw-id2-ensure-request-object-without-exp-fails ptWw8f4ykIwhzWg FINISHED - result PASSED. 91 log entries - 53 SUCCESS 0 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-request-object-without-scope-fails jZORgBtk1BSifPS FINISHED - result PASSED. 92 log entries - 55 SUCCESS 0 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-state-only-outside-request-object-not-used iYE8kLauOIzxU5b FINISHED - result PASSED. 92 log entries - 54 SUCCESS 0 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-request-object-without-nonce-fails WbcVgzkjVVZonjS FINISHED - result FAILED. 92 log entries - 53 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-request-object-without-redirect-uri-fails QsnjRiZjxi5Sf0q FINISHED - result FAILED. 92 log entries - 54 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-expired-request-object-fails 6L86UQrAGG7pAS8 FINISHED - result FAILED. 91 log entries - 53 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-request-object-with-bad-aud-fails xISVHGmioPzrtzP FINISHED - result FAILED. 91 log entries - 53 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-signed-request-object-with-RS256-fails YOWB9Hg1Cdg5JrK FINISHED - result REVIEW. 72 log entries - 46 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-request-object-signature-algorithm-is-not-none GYcZ5kdizGTagDO INTERRUPTED - result FAILED. 71 log entries - 46 SUCCESS 2 FAILURE, 0 WARNING, 1.0 seconds

Test fapi-rw-id2-ensure-request-object-with-invalid-signature-fails UDCj8A7hND27uUQ INTERRUPTED - result FAILED. 72 log entries - 47 SUCCESS 2 FAILURE, 0 WARNING, 1.0 seconds

Test fapi-rw-id2-ensure-matching-key-in-authorization-request JEp3DoRzdzIvNB2 FINISHED - result FAILED. 92 log entries - 53 SUCCESS 1 FAILURE, 0 WARNING, 3.0 seconds

Test fapi-rw-id2-ensure-authorization-request-without-request-object-fails 6aLu0ii2Os3pceK FINISHED - result REVIEW. 66 log entries - 40 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-redirect-uri-in-authorization-request G8fU9TGVY3Lxu7u FINISHED - result REVIEW. 72 log entries - 46 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-response-type-code-fails PEltQ0Ut56AHh16 FINISHED - result FAILED. 93 log entries - 55 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-client-id-in-token-endpoint ZvZVykaBEmqQFs2 INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

Test fapi-rw-id2-ensure-mtls-holder-of-key-required T2MMBLT6Wxhk4kn INTERRUPTED - result FAILED. 96 log entries - 61 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-authorization-code-is-bound-to-client 85wreH13SIrN7K4 INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-signed-client-assertion-with-RS256-fails ruSofvcWKi0q5DN INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-client-assertion-in-token-endpoint bKpdbCriXQcw6ox INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

Test fapi-rw-id2-ensure-client-assertion-with-exp-is-5-minutes-in-past-fails 5T1CM0upmZqA4CP INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 1.0 seconds

Test fapi-rw-id2-ensure-client-assertion-with-wrong-aud-fails eMF3BqPW7Z249bq INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.2 seconds

