Test fapi-rw-id2-discovery-end-point-verification 5BiHZdUt8SQRIF7 FINISHED - result FAILED. 26 log entries - 19 SUCCESS 1 FAILURE, 0 WARNING, 1.2 seconds

Test fapi-rw-id2 47uyRZrMHc8x64e INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 6.1 seconds

Test fapi-rw-id2-user-rejects-authentication lhVwbwDORhLWvIn FINISHED - result PASSED. 139 log entries - 80 SUCCESS 0 FAILURE, 0 WARNING, 6.1 seconds

Test fapi-rw-id2-ensure-request-object-with-multiple-aud-succeeds VLYleOtF9zKsjL3 INTERRUPTED - result FAILED. 74 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-authorization-request-without-state-success 6zmxbkakSH2aSSn INTERRUPTED - result FAILED. 73 log entries - 44 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-valid-pkce-succeeds Kb65cOCjVJ3kl5m INTERRUPTED - result FAILED. 77 log entries - 47 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-other-scope-order-succeeds s3Vhqjv2triTg5x INTERRUPTED - result FAILED. 58 log entries - 39 SUCCESS 1 FAILURE, 0 WARNING, 1.0 seconds

Test fapi-rw-id2-ensure-response-mode-query 2HXyijBz48Ho36o FINISHED - result PASSED. 84 log entries - 55 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-different-nonce-inside-and-outside-request-object DQXTMav9uFoBpI3 FINISHED - result FAILED. 92 log entries - 54 SUCCESS 1 FAILURE, 0 WARNING, 3.1 seconds

Test fapi-rw-id2-ensure-registered-redirect-uri NtCC4FvhDfDgaKO FINISHED - result REVIEW. 73 log entries - 47 SUCCESS 0 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-request-object-with-long-nonce k05sbMJvhxZdppZ INTERRUPTED - result FAILED. 75 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.1 seconds

Test fapi-rw-id2-ensure-request-object-with-long-state ZgXbwjr9Bphw8zS INTERRUPTED - result FAILED. 75 log entries - 46 SUCCESS 3 FAILURE, 0 WARNING, 2.0 seconds

